created_at,entry_id,field1,field2,field3,field4
2023-05-26 14:19:39 UTC,243,25,36,40864,2
2023-05-26 14:19:58 UTC,244,25,36,40864,2
2023-05-26 14:20:18 UTC,245,25,35,40880,2
2023-05-26 14:20:48 UTC,246,25,35,40912,2
2023-05-26 14:21:05 UTC,247,25,35,40880,2
2023-05-26 14:21:26 UTC,248,25,35,40896,2
2023-05-26 14:37:42 UTC,249,25,35,40896,2
2023-05-26 14:37:59 UTC,250,25,36,40912,2
2023-05-26 14:38:19 UTC,251,25,35,40960,2
2023-05-26 14:38:44 UTC,252,25,35,40848,2
2023-05-26 14:39:01 UTC,253,25,36,40960,2
2023-05-26 14:39:21 UTC,254,25,35,40816,2
2023-05-26 14:39:41 UTC,255,25,36,40992,2
2023-05-26 14:40:03 UTC,256,25,36,40896,2
2023-05-26 14:40:19 UTC,257,25,35,40944,2
2023-05-26 14:40:40 UTC,258,25,35,40896,2
2023-05-26 14:41:00 UTC,259,25,35,40880,2
2023-05-26 14:41:17 UTC,260,25,35,40896,2
2023-05-26 14:41:38 UTC,261,25,35,40928,2
2023-05-26 14:43:44 UTC,262,25,35,40960,2
2023-05-26 14:45:51 UTC,263,25,38,40960,2
2023-05-26 14:46:08 UTC,264,25,35,40848,2
2023-05-26 14:46:27 UTC,265,25,35,40960,2
2023-05-26 14:46:48 UTC,266,25,35,36896,2
2023-05-26 14:47:07 UTC,267,25,42,40992,2
2023-05-26 14:47:27 UTC,268,26,39,40672,2
2023-05-26 14:47:47 UTC,269,26,37,40240,2
2023-05-26 14:48:07 UTC,270,26,39,4144,0
2023-05-26 14:48:27 UTC,271,27,36,4256,0
2023-05-26 14:48:47 UTC,272,27,33,4224,0
2023-05-26 14:49:07 UTC,273,28,32,4064,0
2023-05-26 14:49:27 UTC,274,28,31,4272,0
2023-05-26 14:49:47 UTC,275,28,31,4368,0
2023-05-26 14:50:07 UTC,276,29,32,4336,0
2023-05-26 14:50:27 UTC,277,29,31,4368,0
2023-05-26 14:50:47 UTC,278,29,30,4416,0
2023-05-26 14:51:08 UTC,279,29,30,4720,0
2023-05-26 14:51:27 UTC,280,29,29,4704,0
2023-05-26 14:51:47 UTC,281,29,29,4768,0
2023-05-26 14:52:07 UTC,282,30,31,4736,0
2023-05-26 14:52:27 UTC,283,30,31,4736,0
2023-05-26 14:52:47 UTC,284,30,31,4864,0
2023-05-26 14:53:07 UTC,285,30,30,4864,0
2023-05-26 14:53:27 UTC,286,30,30,4720,0
2023-05-26 14:53:47 UTC,287,30,30,4832,0
2023-05-26 14:54:07 UTC,288,30,29,4848,0
2023-05-26 14:54:27 UTC,289,30,29,4816,0
2023-05-26 14:54:47 UTC,290,30,29,3840,0
2023-05-26 14:55:07 UTC,291,30,29,4848,0
2023-05-26 14:55:27 UTC,292,30,29,5056,0
2023-05-26 14:55:47 UTC,293,30,29,4864,0
2023-05-26 14:56:07 UTC,294,30,29,5024,0
2023-05-26 14:56:27 UTC,295,30,29,5040,0
2023-05-26 14:56:47 UTC,296,30,29,4960,0
2023-05-26 14:57:07 UTC,297,30,29,4992,0
2023-05-26 14:57:27 UTC,298,30,29,5120,0
2023-05-26 14:57:47 UTC,299,30,29,5056,0
2023-05-26 14:58:07 UTC,300,30,26,5040,0
2023-05-26 14:58:27 UTC,301,30,29,4736,0
2023-05-26 14:58:47 UTC,302,30,29,4464,0
2023-05-26 14:59:07 UTC,303,30,29,4896,0
2023-05-26 14:59:27 UTC,304,30,29,4128,0
2023-05-26 14:59:47 UTC,305,30,29,4144,0
2023-05-26 15:00:07 UTC,306,30,27,4432,0
2023-05-26 15:00:27 UTC,307,30,29,4304,0
2023-05-26 15:00:47 UTC,308,30,27,4368,0
2023-05-26 15:01:07 UTC,309,30,30,4368,0
2023-05-26 15:01:28 UTC,310,30,30,40144,2
2023-05-26 15:01:47 UTC,311,30,28,34176,2
2023-05-26 15:02:07 UTC,312,30,30,16960,1
2023-05-26 15:02:27 UTC,313,30,30,19776,1
2023-05-26 15:02:47 UTC,314,30,27,27856,1
2023-05-26 15:03:08 UTC,315,30,30,30128,2
2023-05-26 15:03:27 UTC,316,30,28,39024,2
